,corr
bulkiness_1,-0.21041133477995239
bulkiness_2,-0.0089956993863675
bulkiness_3,-0.14500704155357858
bulkiness_4,0.12332230141428399
clustering_coeff_1,0.14982859873913182
clustering_coeff_2,0.0036951722912901747
clustering_coeff_3,-0.012568565905653816
clustering_coeff_4,0.27579878349880477
coil_tendency_1,-0.28751303992516214
coil_tendency_2,-0.02998651905276594
coil_tendency_3,-0.12476873195145537
coil_tendency_4,0.1263777486047037
compressibility_1,-0.08543204648447841
compressibility_2,-0.011719383015603088
compressibility_3,-0.1863863066500092
compressibility_4,0.20006990571659636
conservation_score_1,-0.042140197414466556
conservation_score_2,-0.013496478559120204
conservation_score_3,-0.1874855938582594
conservation_score_4,0.11453459507731231
flexibility_1,-0.1419724669050877
flexibility_2,0.0007880300040488014
flexibility_3,0.013347441286049635
flexibility_4,0.18662029883057943
hydrophobicity_1,-0.26307385662115795
hydrophobicity_2,-0.09988609867770067
hydrophobicity_3,0.020048991984979524
hydrophobicity_4,0.2667155659103147
molecular_weight_1,-0.299440415990161
molecular_weight_2,-0.01961176715931304
molecular_weight_3,-0.1881333750279445
molecular_weight_4,0.02798751543190051
node_degree_1,-0.24887320441065025
node_degree_2,-0.02529349278330059
node_degree_3,-0.170422840108883
node_degree_4,0.23442684210129655
node_weighted_degree_1,-0.28905870658273186
node_weighted_degree_2,-0.09471666579333406
node_weighted_degree_3,-0.30774109634879404
node_weighted_degree_4,-0.27198240399034906
partial_specific_volume_1,-0.2704722572725529
partial_specific_volume_2,-0.017416854592273767
partial_specific_volume_3,-0.15470288655692627
partial_specific_volume_4,0.04584196103478688
polarity_1,-0.11845021070616629
polarity_2,0.04104200876105468
polarity_3,0.08630393284118854
polarity_4,0.24371841892412843
refractive_index_1,-0.32895748594200197
refractive_index_2,-0.021228107511483768
refractive_index_3,-0.1338841738152039
refractive_index_4,-0.01732750546542065
residue_count_1,-0.39007411963426447
residue_count_2,-0.2099667862553635
residue_count_3,-0.3386031636077313
residue_count_4,-0.23288703440286473
turn_tendency_1,-0.30507819942061426
turn_tendency_2,-0.03434411991158599
turn_tendency_3,-0.09428786322142833
turn_tendency_4,0.13765954060969418
